fetched_at_utc,input_lat,input_lon,input_station_name,aqi,station_id,station_name,dominant_pollutant,pm25,pm10,o3,no2,so2,co,t,h,w,time_station,error
2026-03-19 02:00:00,28.6109477,77.03845634,,170,10119,"National Institute of Malaria Research, Sector 8, Dwarka, Delhi, Delhi, India",pm25,169.7,98.6,6.9,10.9,6.8,7.4,20.3,91.0,0.28,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.6281909,77.2410437,,141,3715,"ITO, Delhi, Delhi, India",pm25,141.0,59.5,8.6,13.0,10.5,0.1,16.8,92.0,4.12,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.75081525,77.11627652,,127,9290,"DTU, Delhi, Delhi, India",pm25,126.9,53.7,9.1,17.9,9.9,0.1,16.8,97.1,0.89,2026-03-19 07:30:00,
2026-03-19 02:00:00,18.388855,81.683361,,46,11303,"Anand Kala Kshetram, Rajamahendravaram, India",pm25,46.4,22.9,3.1,9.7,6.4,2.2,29.1,68.3,1.71,2026-03-19 07:30:00,
2026-03-19 02:00:00,27.550006,76.611703,,135,11866,"Moti Doongri, Alwar, India",pm25,134.8,61.5,3.0,14.7,8.3,0.9,21.6,36.9,0.92,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.202045,76.817954,,129,12446,"Municipal Corporation Office, Dharuhera, India",pm25,129.0,71.1,10.2,15.8,1.8,3.2,16.0,94.3,,2026-03-19 07:30:00,
2026-03-19 02:00:00,22.687581,79.370366,,57,12427,"Marhatal, Jabalpur, India",pm25,57.1,28.0,11.2,7.5,3.6,6.0,27.3,81.3,0.79,2026-03-19 07:30:00,
2026-03-19 02:00:00,21.862938,70.909236,,60,13747,"SAC ISRO Bopal, Ahmedabad, India",pm25,60.4,29.2,0.1,7.4,1.5,4.5,17.2,98.9,0.16,2026-03-19 07:30:00,
2026-03-19 02:00:00,22.703568,88.536384,,62,9145,"Rabindra Bharati University, Kolkata, India",pm25,62.0,28.8,10.0,9.8,3.2,3.7,24.9,88.2,0.38,2026-03-19 07:30:00,
2026-03-19 02:00:00,26.894094,75.79277,,75,11291,"Police Commissionerate, Jaipur, India",pm25,75.2,37.3,8.6,36.4,7.2,8.7,16.8,29.5,0.44,2026-03-19 07:30:00,
2026-03-19 02:00:00,24.576885,73.709683,,110,11289,"Indira Colony Vistar, Pali, India",pm25,109.7,44.5,4.7,6.2,3.3,2.2,20.2,94.2,1.28,2026-03-19 07:30:00,
2026-03-19 02:00:00,24.8052378,85.0287384,,156,13808,"Kareemganj, Gaya, India",pm10,149.7,155.9,6.6,3.6,13.9,0.6,29.8,65.4,1.69,2026-03-19 07:30:00,
2026-03-19 02:00:00,28.702714,77.193991,,154,10115,"Satyawati College, Delhi, Delhi, India",pm25,154.3,89.8,3.5,6.6,8.1,5.5,21.0,90.5,0.62,2026-03-19 07:30:00,
2026-03-19 02:00:00,31.230175,75.762694,,66,11299,"Civil Line, Jalandhar, India",pm25,66.1,35.6,11.0,10.5,7.1,7.6,15.4,91.9,1.52,2026-03-19 07:30:00,
